City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Samarai,PG,81.37,broken clouds,-10.6167,150.6667,Nuli Sapi
2,Sabang,ID,83.37,overcast clouds,5.8933,95.3214,Hotel Citra
5,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
8,Phan Thiet,VN,83.26,overcast clouds,10.9333,108.1,Hotel Saigon-PT
10,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
11,Butaritari,KI,83.66,light rain,3.0707,172.7902,Isles Sunset Lodge
15,Georgetown,MY,78.75,moderate rain,5.4112,100.3354,Cititel Penang
16,Atuona,PF,79.63,light rain,-9.8,-139.0333,Villa Enata
19,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
25,Rikitea,PF,74.7,overcast clouds,-23.1203,-134.9692,Pension Maro'i
26,Victoria,HK,89.58,scattered clouds,22.2855,114.1577,Mini Hotel Central
28,Bhadrak,IN,81.97,moderate rain,21.0633,86.5054,Hotel bluevine
34,Canala,NC,73.89,clear sky,-21.5333,165.95,Gite de Kuiné
40,Port Blair,IN,78.84,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
41,Namibe,AO,72.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
42,Gigmoto,PH,87.28,scattered clouds,13.7796,124.39,Cj's Travellers Inn
43,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Waco,US,82.51,clear sky,31.5493,-97.1467,Courtyard by Marriott Waco
50,Black River,JM,80.6,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
51,Faanui,PF,81.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,Airai,TL,71.55,clear sky,-8.9266,125.4092,Juvinal Martin
59,Martapura,ID,89.69,few clouds,-3.4167,114.85,Montana Hotel Syariah
61,Campbellton,CA,70.25,overcast clouds,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
62,Kapaa,US,82.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Bubaque,GW,77.79,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
64,Ugoofaaru,MV,83.82,overcast clouds,5.6667,73.0,Ungoofaaru Inn
68,Madison,US,72.61,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
70,Puerto Ayora,EC,74.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
73,Lorengau,PG,78.69,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Bandarbeyla,SO,79.11,broken clouds,9.4942,50.8122,JABIR HOTEL
77,Haysville,US,79.02,overcast clouds,37.5645,-97.3523,HAYSVILLE EXPRESS INN
78,Bambari,CF,71.6,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
79,Hangu,CN,78.84,broken clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
81,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
84,Jacmel,HT,78.64,few clouds,18.2342,-72.5347,Hotel Florita
85,Morro Bay,US,75.18,few clouds,35.3658,-120.8499,Inn at Morro Bay
86,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
87,Buchanan,LR,76.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
88,Hami,CN,85.3,clear sky,42.8,93.45,Laoyutang Resort
90,Hithadhoo,MV,84.09,broken clouds,-0.6,73.0833,Scoop Guest House
92,Nanchang,CN,76.12,overcast clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
97,Cabo San Lucas,MX,88.81,scattered clouds,22.8909,-109.9124,Tesoro Los Cabos
102,Kano,NG,80.49,clear sky,12.0001,8.5167,Havana Guest Inn
105,Soyo,AO,76.05,scattered clouds,-6.1349,12.3689,Hotel Mpampa
107,Wasilla,US,71.15,light rain,61.5814,-149.4394,Alaska's Select Inn Wasilla
109,Bethel,US,71.92,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
111,Pemangkat,ID,84.27,broken clouds,1.1667,108.9667,Ramah Kost KITA
114,Sao Filipe,CV,73.89,clear sky,14.8961,-24.4956,Hotel Xaguate
116,Brigantine,US,73.27,few clouds,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
123,San Patricio,US,80.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
128,Malakal,SS,82.45,broken clouds,9.5334,31.6605,Nile Palace Hotel
131,Kulhudhuffushi,MV,82.36,overcast clouds,6.6221,73.07,Haajy Guest House 1
133,Bambanglipuro,ID,84.79,scattered clouds,-7.95,110.2833,Puri Brata
142,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
143,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
144,Forestville,US,71.42,moderate rain,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
150,Vinh,VN,85.01,broken clouds,18.6667,105.6667,Khách Sạn Thương Mại
151,San Matias,BO,77.09,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
152,Praya,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
153,Bang Saphan,TH,84.15,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
154,Myitkyina,MM,80.91,light rain,25.3833,97.4,Shwe Phyu Hotel
156,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
