City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,35.73,82,25,6.53,scattered clouds
1,Samarai,PG,-10.6167,150.6667,81.37,65,63,14.65,broken clouds
2,Sabang,ID,5.8933,95.3214,83.37,75,100,19.3,overcast clouds
3,Lebu,CL,-37.6167,-73.65,57.31,95,100,6.51,light rain
4,Barrow,US,71.2906,-156.7887,35.62,69,90,13.8,overcast clouds
5,Vaini,TO,-21.2,-175.2,78.96,73,20,11.5,few clouds
6,Busselton,AU,-33.65,115.3333,61.05,63,100,17.05,overcast clouds
7,Durazno,UY,-33.4131,-56.5006,49.95,93,0,6.91,clear sky
8,Phan Thiet,VN,10.9333,108.1,83.26,74,100,2.55,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,29.86,86,75,18.41,light snow
10,San Cristobal,VE,7.7669,-72.225,75.38,90,52,2.68,broken clouds
11,Butaritari,KI,3.0707,172.7902,83.66,79,85,19.24,light rain
12,Hobart,AU,-42.8794,147.3294,52.05,57,40,4.0,light rain
13,Tuatapere,NZ,-46.1333,167.6833,49.82,72,100,8.1,overcast clouds
14,Tazovskiy,RU,67.4667,78.7,30.15,81,86,6.38,overcast clouds
15,Georgetown,MY,5.4112,100.3354,78.75,95,40,3.44,moderate rain
16,Atuona,PF,-9.8,-139.0333,79.63,75,76,13.78,light rain
17,Ottawa,CA,45.4112,-75.6981,69.44,58,75,8.01,broken clouds
18,Esso,RU,55.9333,158.7,37.58,82,100,3.51,overcast clouds
19,Hilo,US,19.7297,-155.09,81.28,78,90,13.8,overcast clouds
20,Morant Bay,JM,17.8815,-76.4093,82.02,87,17,8.03,few clouds
21,Castro,BR,-24.7911,-50.0119,57.85,61,100,3.56,overcast clouds
22,Fevik,NO,58.3794,8.6766,49.62,85,100,16.08,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,41.16,93,100,27.09,light rain
24,Mataura,NZ,-46.1927,168.8643,49.48,65,100,2.48,light rain
